State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,2,5,7,2,2,1,5,5,9,1,7,3,5,4,5,6,1,4,5,5,1,1,10,1,6
Alaska,4,7,9,3,4,8,8,8,5,5,5,7,6,3,1,8,2,4,3,3,6,2,7,8,2
Arizona,5,5,6,2,5,4,3,2,5,1,1,3,1,1,3,0,3,2,1,2,2,1,0,1,2
Arkansas,8,4,2,2,3,5,8,2,1,4,1,6,3,4,0,4,2,2,2,2,3,2,4,0,0
California,15,9,12,12,15,17,24,25,27,32,7,11,15,11,4,3,6,2,5,3,3,4,5,6,10
Colorado,2,0,3,3,1,6,1,2,2,1,3,1,1,3,0,0,4,0,0,1,1,1,1,0,3
Connecticut,0,1,5,1,2,2,2,0,0,1,0,3,4,5,2,0,4,0,1,0,1,5,0,1,0
Delaware,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0
Florida,20,32,26,28,19,18,19,21,14,18,11,20,14,17,15,7,9,10,12,11,14,14,6,18,13
Georgia,6,6,3,2,3,2,1,5,6,5,4,3,4,3,5,0,4,4,2,4,7,2,2,3,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,4,12,4,4,2,1,0,6,6,4,4,0,5,4,6,4,2,2,2,2,2,1,2,1,2
Illinois,12,2,11,8,2,5,14,10,12,8,7,2,2,3,6,9,5,1,8,5,3,1,1,1,0
Indiana,2,1,6,0,2,3,7,1,3,0,0,4,0,0,0,4,0,0,5,1,1,3,4,8,4
Iowa,5,1,4,5,3,0,2,0,2,5,3,5,0,2,2,1,7,2,2,1,2,2,2,4,2
Kansas,2,3,3,0,0,6,5,2,0,1,1,1,0,0,0,0,1,1,0,1,2,0,0,1,0
Kentucky,2,6,4,12,6,5,4,2,1,8,5,6,1,3,5,2,2,0,5,2,2,5,4,1,1
Louisiana,2,2,4,7,16,18,22,18,8,8,2,6,13,17,5,2,6,3,6,4,3,3,3,3,2
Maine,0,0,0,1,1,1,0,2,3,5,0,5,3,2,1,4,1,0,2,1,2,3,1,0,2
Maryland,2,0,1,3,8,10,7,3,8,3,3,2,1,6,1,3,4,1,1,8,3,3,5,9,3
Massachusetts,2,2,2,3,2,8,5,2,1,6,1,3,1,4,6,4,5,3,0,3,2,4,1,2,1
Michigan,5,3,7,6,7,15,13,12,14,11,0,4,3,9,8,4,1,1,4,4,7,4,3,5,4
Minnesota,6,8,6,7,10,6,15,6,5,11,3,2,5,4,3,6,3,3,4,7,8,4,2,2,5
Mississippi,1,5,4,2,0,5,9,1,1,1,2,1,0,2,4,2,1,3,2,0,3,1,3,4,2
Missouri,10,10,10,13,6,3,14,10,4,14,8,4,1,3,2,2,2,6,5,2,3,1,1,0,1
Montana,4,3,2,2,1,0,2,2,3,1,1,0,4,1,0,1,0,0,2,2,1,0,4,1,0
Nebraska,3,0,1,0,1,0,2,3,4,1,3,3,1,2,2,2,1,0,0,0,1,1,4,4,10
Nevada,2,2,3,1,1,2,5,3,3,4,2,0,4,1,1,2,0,1,2,2,0,3,1,0,0
New Hampshire,2,1,2,1,2,0,2,0,0,0,0,1,1,1,0,1,2,0,0,1,0,1,0,0,0
New Jersey,2,1,2,2,5,1,5,0,2,0,4,0,0,1,2,3,2,0,0,0,0,0,1,0,0
New Mexico,3,2,0,0,2,3,0,2,0,2,0,1,0,1,6,0,1,0,0,0,0,0,0,2,0
New York,4,11,5,5,4,9,6,9,5,4,4,8,6,7,4,7,11,6,7,3,0,0,1,0,1
North Carolina,2,2,11,6,9,4,4,6,7,3,5,4,5,5,6,2,3,4,5,4,0,1,1,0,1
North Dakota,1,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,1,3,1,6,1,3,2,3
Ohio,2,3,8,6,8,11,8,7,3,6,5,5,3,2,8,5,4,1,6,4,4,4,2,2,9
Oklahoma,3,2,2,2,2,1,2,4,8,4,2,3,1,3,5,6,3,3,2,3,0,3,3,2,2
Oregon,1,6,1,2,4,1,3,1,1,3,0,1,2,1,1,2,1,3,1,4,1,1,2,4,2
Pennsylvania,1,4,3,3,3,4,3,2,2,6,11,2,1,2,1,4,5,1,6,1,5,3,1,1,2
Rhode Island,0,2,0,2,0,1,2,3,1,0,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0
South Carolina,5,9,7,5,5,5,6,3,2,3,1,0,4,0,4,5,5,4,3,3,4,2,1,2,3
South Dakota,0,0,0,0,0,0,3,1,2,1,2,0,0,0,0,0,1,0,1,3,2,0,1,0,1
Tennessee,1,4,0,1,8,2,7,5,12,3,5,3,7,4,8,2,1,3,2,3,5,2,3,1,6
Texas,8,14,8,11,10,7,14,6,4,5,7,7,11,9,8,5,6,5,5,1,6,7,6,11,8
Utah,1,3,2,0,2,4,0,0,1,1,0,0,0,0,1,2,0,1,1,0,1,0,3,2,5
Vermont,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,4,4
Virginia,3,3,1,3,0,4,1,4,6,5,1,1,1,2,1,2,1,0,3,1,0,1,0,0,0
Washington,10,7,8,7,11,6,11,7,8,9,9,10,6,6,1,7,6,5,4,5,3,5,5,9,3
West Virginia,3,2,5,1,0,1,2,0,0,1,2,1,0,1,3,4,0,0,1,0,8,9,6,1,4
Wisconsin,12,14,5,5,11,11,8,9,9,5,4,4,7,5,3,11,8,2,3,8,0,1,2,1,1
Wyoming,0,1,0,0,1,4,1,0,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,0,0
