State,Average Deaths,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,4.090909091,5,6,1,4,5,5,1,1,10,1,6
Alaska,4.181818182,1,8,2,4,3,3,6,2,7,8,2
Arizona,1.545454545,3,0,3,2,1,2,2,1,0,1,2
Arkansas,1.909090909,0,4,2,2,2,2,3,2,4,0,0
California,4.636363636,4,3,6,2,5,3,3,4,5,6,10
Colorado,1,0,0,4,0,0,1,1,1,1,0,3
Connecticut,1.272727273,2,0,4,0,1,0,1,5,0,1,0
Delaware,0.363636364,2,0,1,0,0,0,0,1,0,0,0
Florida,11.72727273,15,7,9,10,12,11,14,14,6,18,13
Georgia,3,5,0,4,4,2,4,7,2,2,3,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,2.363636364,6,4,2,2,2,2,2,1,2,1,2
Illinois,3.636363636,6,9,5,1,8,5,3,1,1,1,0
Indiana,2.727272727,0,4,0,0,5,1,1,3,4,8,4
Iowa,2.454545455,2,1,7,2,2,1,2,2,2,4,2
Kansas,0.545454545,0,0,1,1,0,1,2,0,0,1,0
Kentucky,2.636363636,5,2,2,0,5,2,2,5,4,1,1
Louisiana,3.636363636,5,2,6,3,6,4,3,3,3,3,2
Maine,1.545454545,1,4,1,0,2,1,2,3,1,0,2
Maryland,3.727272727,1,3,4,1,1,8,3,3,5,9,3
Massachusetts,2.818181818,6,4,5,3,0,3,2,4,1,2,1
Michigan,4.090909091,8,4,1,1,4,4,7,4,3,5,4
Minnesota,4.272727273,3,6,3,3,4,7,8,4,2,2,5
Mississippi,2.272727273,4,2,1,3,2,0,3,1,3,4,2
Missouri,2.272727273,2,2,2,6,5,2,3,1,1,0,1
Montana,1,0,1,0,0,2,2,1,0,4,1,0
Nebraska,2.272727273,2,2,1,0,0,0,1,1,4,4,10
Nevada,1.090909091,1,2,0,1,2,2,0,3,1,0,0
New Hampshire,0.454545455,0,1,2,0,0,1,0,1,0,0,0
New Jersey,0.727272727,2,3,2,0,0,0,0,0,1,0,0
New Mexico,0.818181818,6,0,1,0,0,0,0,0,0,2,0
New York,3.636363636,4,7,11,6,7,3,0,0,1,0,1
North Carolina,2.454545455,6,2,3,4,5,4,0,1,1,0,1
North Dakota,2,1,0,1,1,3,1,6,1,3,2,3
Ohio,4.454545455,8,5,4,1,6,4,4,4,2,2,9
Oklahoma,2.909090909,5,6,3,3,2,3,0,3,3,2,2
Oregon,2,1,2,1,3,1,4,1,1,2,4,2
Pennsylvania,2.727272727,1,4,5,1,6,1,5,3,1,1,2
Rhode Island,0.545454545,2,0,1,0,1,0,0,2,0,0,0
South Carolina,3.272727273,4,5,5,4,3,3,4,2,1,2,3
South Dakota,0.818181818,0,0,1,0,1,3,2,0,1,0,1
Tennessee,3.272727273,8,2,1,3,2,3,5,2,3,1,6
Texas,6.181818182,8,5,6,5,5,1,6,7,6,11,8
Utah,1.454545455,1,2,0,1,1,0,1,0,3,2,5
Vermont,1.545454545,0,0,0,0,1,0,4,2,2,4,4
Virginia,0.818181818,1,2,1,0,3,1,0,1,0,0,0
Washington,4.818181818,1,7,6,5,4,5,3,5,5,9,3
West Virginia,3.272727273,3,4,0,0,1,0,8,9,6,1,4
Wisconsin,3.636363636,3,11,8,2,3,8,0,1,2,1,1
Wyoming,0.363636364,0,1,0,0,1,0,1,1,0,0,0
