State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,21,24,27,17,11,16,12,15,17,15,19,10,11,11,20,14,16,10,12,17,12,18,13,25,12
Alaska,13,19,24,21,16,20,14,16,14,14,11,11,11,13,8,13,15,7,10,7,14,13,17,8,15
Arizona,7,7,10,7,9,7,8,5,10,5,14,8,5,3,3,10,3,9,7,6,5,11,6,7,7
Arkansas,19,14,18,14,9,12,20,6,5,12,6,15,13,16,12,13,8,13,7,9,9,11,7,10,13
California,48,41,45,36,40,43,46,56,35,55,39,48,39,42,44,47,37,34,29,41,43,49,33,37,37
Colorado,10,5,9,9,10,7,6,6,6,10,11,7,7,12,6,9,8,2,12,8,11,6,6,12,16
Connecticut,5,5,6,5,4,4,5,2,3,5,5,7,9,8,6,8,6,1,5,6,3,8,4,2,3
Delaware,2,1,5,3,2,1,3,1,1,1,2,2,3,1,1,3,2,0,1,0,1,3,2,1,5
Florida,52,53,67,52,43,47,48,58,60,67,60,67,50,53,65,56,48,51,62,49,59,60,54,55,70
Georgia,16,24,15,16,9,7,4,13,21,13,18,14,16,11,18,14,11,15,12,19,15,12,9,22,10
Hawaii,2,3,4,0,0,1,0,0,1,5,4,2,5,7,4,6,5,4,3,5,6,3,1,3,1
Idaho,6,16,10,12,9,7,2,7,9,5,7,7,15,13,9,11,11,5,10,9,8,13,9,7,5
Illinois,22,13,16,13,13,6,21,10,17,16,15,11,14,15,14,20,15,8,17,11,9,15,16,13,16
Indiana,12,9,10,4,7,9,11,6,7,3,6,5,7,13,6,10,2,4,9,5,6,7,8,11,8
Iowa,8,5,3,6,5,1,2,0,2,8,4,7,0,3,6,4,8,3,6,3,7,4,8,5,7
Kansas,4,6,4,5,0,2,4,3,2,4,5,5,4,5,4,7,2,5,6,2,7,2,2,2,8
Kentucky,7,18,10,14,13,17,10,8,9,14,13,13,5,17,14,9,7,4,8,12,8,12,13,9,7
Louisiana,31,25,29,30,44,36,34,34,35,33,21,28,31,26,16,30,23,15,18,20,23,19,17,18,23
Maine,0,7,8,6,9,8,10,7,6,13,12,13,8,8,6,11,6,3,5,7,9,11,4,4,11
Maryland,16,6,9,6,11,14,14,10,12,14,8,8,8,16,9,17,11,13,10,20,11,6,13,12,6
Massachusetts,4,11,9,10,5,13,7,7,9,8,9,9,11,10,16,9,16,12,5,5,13,10,10,4,7
Michigan,19,22,21,27,26,25,36,25,26,26,24,30,30,32,25,24,14,19,18,22,33,19,20,21,29
Minnesota,12,16,13,17,16,15,23,14,15,21,11,12,12,14,11,14,12,10,14,16,17,13,13,10,16
Mississippi,9,15,11,17,11,13,13,7,11,6,7,7,4,15,7,11,11,12,2,7,10,6,9,4,4
Missouri,18,22,22,19,10,9,16,15,15,22,16,7,19,16,13,17,10,16,13,17,14,10,12,18,13
Montana,11,9,6,5,7,4,5,3,5,5,6,4,12,6,2,9,9,6,3,6,5,2,9,4,7
Nebraska,5,4,4,3,5,0,5,4,6,2,4,6,2,5,5,4,8,0,1,4,2,4,4,2,2
Nevada,8,6,7,2,3,4,7,8,6,5,4,5,6,6,2,7,3,5,7,5,4,4,5,4,3
New Hampshire,4,6,6,6,7,5,3,5,2,1,5,5,2,6,3,2,4,1,1,4,8,5,4,3,2
New Jersey,17,6,10,7,12,7,16,17,8,4,10,8,7,6,8,8,7,8,3,7,4,4,5,4,9
New Mexico,2,1,1,0,5,3,0,2,0,5,0,1,2,3,7,1,1,2,0,0,2,5,2,2,4
New York,15,32,26,22,17,17,23,23,17,15,14,18,17,19,24,25,21,15,27,15,20,19,17,17,25
North Carolina,18,21,30,20,19,15,11,17,19,16,20,19,16,19,23,27,22,14,22,18,22,15,27,15,23
North Dakota,3,2,2,1,3,0,4,2,3,0,0,0,0,0,3,3,1,2,4,2,1,4,2,2,1
Ohio,9,12,17,19,22,17,20,17,7,11,12,11,12,9,15,13,11,13,15,13,12,20,15,12,20
Oklahoma,9,9,11,12,10,5,10,13,13,10,13,11,10,10,12,10,12,8,6,11,5,7,5,8,17
Oregon,8,15,16,13,13,14,14,15,9,14,17,9,11,11,10,10,17,12,7,15,17,11,16,16,24
Pennsylvania,7,17,10,10,11,13,9,9,11,9,19,10,8,11,6,22,9,16,20,4,9,15,13,8,9
Rhode Island,1,2,3,3,1,3,3,4,4,0,3,4,4,1,1,2,3,1,3,1,0,3,1,1,2
South Carolina,17,22,25,16,15,16,13,27,12,12,13,15,25,7,25,17,13,26,13,15,20,12,15,15,21
South Dakota,1,0,1,1,0,1,4,3,1,2,3,2,3,3,2,2,3,1,1,4,4,0,1,4,3
Tennessee,26,14,9,16,16,11,20,16,28,10,15,16,18,19,17,21,16,17,13,13,17,14,22,9,27
Texas,24,53,39,42,45,36,52,34,30,30,44,40,55,34,27,34,32,28,34,39,48,51,35,38,55
Utah,3,8,10,4,6,7,4,6,3,9,11,5,5,8,10,8,6,10,5,5,5,3,8,6,10
Vermont,1,0,4,2,2,2,1,1,1,0,1,1,5,2,0,3,0,1,1,0,1,3,3,3,3
Virginia,10,24,17,19,15,16,17,18,20,12,20,11,15,23,14,19,13,10,15,9,19,10,9,18,18
Washington,21,29,20,28,19,24,22,14,20,24,20,22,18,17,14,14,28,17,22,28,18,15,19,26,26
West Virginia,6,4,6,3,3,4,4,3,2,6,8,5,1,13,7,6,4,3,3,2,5,3,3,2,5
Wisconsin,18,24,15,16,20,17,18,19,24,17,10,18,19,15,17,19,23,12,9,19,16,22,15,9,22
Wyoming,1,2,1,2,2,4,2,2,1,2,3,3,2,4,1,5,1,0,4,0,3,5,1,3,1
