State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,24,25,32,17,11,17,12,15,20,16,24,11,16,14,20,19,17,10,13,21,14,21,17,28,19
Alaska,14,23,38,26,18,21,16,21,16,20,13,17,14,14,11,15,22,10,11,7,19,20,22,11,24
Arizona,8,8,14,9,12,7,8,7,11,5,14,8,6,3,6,11,4,9,7,6,5,13,11,7,10
Arkansas,20,15,20,15,10,13,24,6,8,13,8,18,14,17,14,15,8,15,8,9,10,11,7,10,13
California,56,42,56,42,49,48,53,61,43,58,42,55,45,47,48,52,49,37,38,48,47,50,34,39,39
Colorado,12,6,9,11,11,10,6,7,6,11,11,7,7,13,7,10,9,2,12,8,12,6,6,12,17
Connecticut,6,5,8,5,4,4,6,3,3,5,5,8,11,8,7,8,6,1,5,6,3,9,5,2,3
Delaware,2,2,6,3,2,1,3,1,1,1,2,2,3,1,2,3,2,0,1,0,1,3,2,1,6
Florida,59,67,73,58,46,52,52,64,66,78,68,75,55,67,69,61,50,58,70,52,70,66,57,62,72
Georgia,17,27,16,16,9,8,5,13,24,16,18,18,18,12,19,14,13,16,13,22,22,14,11,23,11
Hawaii,2,3,4,0,0,1,0,0,2,5,4,2,5,7,4,6,5,4,3,5,8,3,1,4,1
Idaho,6,20,10,13,9,8,2,7,10,6,10,8,15,15,13,12,11,5,10,13,10,16,10,8,5
Illinois,27,14,19,13,14,8,24,13,18,16,18,13,19,16,15,23,17,9,22,11,9,15,17,18,19
Indiana,15,11,12,4,7,14,14,7,7,4,6,7,8,13,8,10,2,5,9,5,7,8,8,16,8
Iowa,10,5,4,6,5,1,2,0,2,9,5,9,0,3,6,4,11,3,7,3,7,4,8,5,8
Kansas,6,7,4,5,0,6,6,3,2,4,5,6,5,6,6,7,2,5,6,2,7,2,2,2,8
Kentucky,8,19,10,20,15,18,12,9,9,20,15,13,6,21,14,10,8,5,9,20,8,13,13,9,9
Louisiana,37,31,35,35,46,43,36,40,44,35,24,30,38,33,21,36,25,15,18,22,24,19,19,20,24
Maine,0,10,8,7,10,8,10,7,6,16,12,15,9,8,8,12,6,4,5,8,9,13,4,4,11
Maryland,19,6,11,6,13,15,15,13,16,15,8,10,9,17,9,19,11,14,12,21,16,6,16,16,7
Massachusetts,5,11,9,10,5,14,10,8,9,9,10,9,11,10,16,9,17,12,6,5,15,10,10,5,8
Michigan,20,22,25,28,31,28,37,29,27,28,30,34,34,36,27,26,16,21,19,24,38,20,22,22,31
Minnesota,12,21,13,22,19,16,30,17,15,24,14,15,12,15,12,16,15,12,14,18,17,14,14,10,16
Mississippi,13,19,11,24,15,15,16,8,11,6,7,7,5,16,8,11,12,13,3,10,11,6,11,5,6
Missouri,22,25,23,23,11,9,20,17,15,24,17,7,20,17,14,20,12,16,14,17,16,10,14,18,14
Montana,13,12,7,6,7,5,6,4,5,7,6,4,14,6,2,10,10,6,3,6,5,2,13,5,7
Nebraska,6,4,4,4,5,0,5,5,6,2,6,7,2,6,5,5,8,0,1,4,2,4,4,2,2
Nevada,9,6,7,2,3,5,8,9,6,5,4,5,6,7,2,7,4,5,11,5,4,4,5,5,3
New Hampshire,4,6,8,6,7,6,3,6,2,1,5,6,2,7,3,2,4,1,1,4,9,5,5,4,2
New Jersey,17,6,10,7,17,7,20,17,8,4,11,8,10,6,8,8,7,8,3,8,5,4,5,4,9
New Mexico,3,2,1,0,5,4,0,2,0,5,0,1,3,3,8,2,1,2,0,0,2,5,2,2,4
New York,23,37,28,25,17,25,26,34,18,15,14,21,24,23,27,28,27,18,27,16,22,22,20,17,28
North Carolina,20,25,34,29,20,17,11,18,20,17,24,19,18,19,24,28,23,16,26,20,23,15,30,16,27
North Dakota,3,3,4,1,3,0,6,3,4,0,0,0,0,0,3,5,1,2,5,2,1,4,2,2,1
Ohio,10,15,18,19,25,19,22,19,7,12,12,14,15,9,16,15,11,13,22,13,12,20,17,13,25
Oklahoma,11,9,12,16,13,5,10,14,13,13,17,12,11,14,13,11,15,9,6,13,5,10,7,8,17
Oregon,8,19,20,16,14,14,16,18,9,15,20,9,13,13,11,10,19,12,7,15,19,12,17,18,26
Pennsylvania,7,18,10,10,12,14,9,11,11,12,25,11,8,11,7,22,11,17,21,4,11,15,14,8,11
Rhode Island,1,2,5,3,1,4,3,4,7,0,5,4,4,1,2,2,3,1,3,1,0,4,1,1,2
South Carolina,20,30,28,18,15,18,14,30,13,13,14,16,29,11,27,19,14,27,14,17,23,13,16,15,25
South Dakota,1,0,1,1,0,1,4,4,2,2,3,2,3,3,4,2,4,1,1,4,5,0,1,5,3
Tennessee,31,16,11,19,19,11,21,17,32,10,16,17,20,22,19,22,21,20,14,13,18,16,22,9,30
Texas,28,61,46,51,55,41,60,36,32,32,45,46,61,38,28,37,32,31,39,44,53,63,38,43,59
Utah,4,8,10,4,7,8,4,6,3,9,12,5,5,11,10,8,8,12,5,5,5,3,9,7,10
Vermont,1,0,4,0,4,2,2,1,1,0,1,1,5,2,0,3,0,1,1,0,1,3,3,4,4
