,STATE,TOTAL_ONBOARD,PASSENGER_ONBOARD,CREW_ONBOARD,TOTAL_FATALITIES,PASSENGER_FATALITIES,CREW_FATALITIES,GROUND_CASUALTIES
0,Alabama,2.0,0.0,2.0,2.0,0.0,2.0,0.0
1,Alaska,36.0,25.0,11.0,28.0,18.0,10.0,0.0
2,Arizona,7.0,6.0,1.0,3.0,3.0,0.0,0.0
3,California,307.0,291.0,16.0,3.0,3.0,0.0,0.0
4,Florida,3.0,2.0,1.0,3.0,2.0,1.0,0.0
5,Hawaii,5.0,4.0,1.0,5.0,4.0,1.0,0.0
6,Iowa,3.0,2.0,1.0,3.0,2.0,1.0,0.0
7,Missouri,4.0,3.0,1.0,4.0,3.0,1.0,0.0
8,Nevada,6.0,4.0,2.0,6.0,4.0,2.0,10.0
9,New York,6.0,5.0,1.0,5.0,5.0,0.0,0.0
10,Ohio,2.0,0.0,2.0,2.0,0.0,2.0,0.0
11,Pennsylvania,149.0,144.0,5.0,1.0,1.0,0.0,0.0
12,Tennessee,5.0,4.0,1.0,5.0,4.0,1.0,0.0
13,Texas,23.0,16.0,7.0,21.0,16.0,5.0,0.0
14,Virginia,2.0,0.0,2.0,2.0,0.0,2.0,0.0
15,Washington,2.0,1.0,1.0,2.0,1.0,1.0,0.0
16,West Virginia,2.0,0.0,2.0,2.0,0.0,2.0,0.0
